Solution,Wing Area (m²),CD0,CLmax,Fuel Mass (kg),Cruise Speed (m/s),Range (km),Stall Speed (m/s),Turn Radius (km),Rate of Climb (m/s)
0,46.00000000010867,0.01000000000000174,1.949812188221698,5000.000004215977,181.999999902457,4492.815586085582,39.67089538238885,0.16060746728460537,400.0301615148837
1,47.99999306714619,0.010000000000632638,1.9499990325401995,5279.999999989447,137.00001265201547,5342.170252598505,39.72955678959659,0.16147290618618862,292.6480224663898
2,46.00000000000921,0.010000000000001844,1.949964184406843,5279.99999999455,137.0000092475234,5488.476634985795,40.584413327228425,0.16854981877204606,292.91836969912026
3,46.000620576054175,0.010000000018915418,1.8803800351444953,5279.990156280885,137.56627013763753,5482.7858642880365,41.32820129260518,0.17482361674168467,294.07826596497375
4,47.99999999947466,0.010000000000692089,1.9499999999995439,5000.000004009767,181.99999989899248,4328.192108890491,38.83375484416078,0.1538864305451387,399.2318854219371
5,47.94157424617315,0.010000000003377483,1.9478831919602897,5162.261869171349,139.0983124570606,5224.309447265678,39.4007200074552,0.15876024187523355,302.67127292378353
6,47.91551890722837,0.010000000037841555,1.9473144935433484,5155.237617269559,174.8619291044829,4601.227391486943,39.39471375377396,0.1584043180499723,375.2366112205028
7,46.1311025392734,0.010000000000578978,1.9271572725156678,5154.490056901252,156.53506500496334,5088.4849777890895,40.356382020575516,0.16638603468378685,339.20443331340414
8,46.017428536392,0.010000000000248453,1.9019000752894997,5262.095536426302,167.52297576940575,4994.589243367959,41.02763725724373,0.17189633469865948,355.10275371679904
9,47.5251421967508,0.010000000000059366,1.949323330188494,5124.1340685647665,148.89518596617893,5077.363040729392,39.43577459808066,0.15892159955355567,324.9465401138851
10,47.90687578784706,0.010000000003384782,1.9473144935433484,5039.884850137692,177.74341464243287,4448.170527081681,39.02734793023106,0.15544415175352247,388.195761238283
11,46.0133637954897,0.010000000000132642,1.8802708327991702,5260.285876034687,156.70394788748573,5189.090758357674,41.25879787999038,0.17394428665982906,333.78151581332173
12,46.10057753646718,0.01000000001816906,1.9498719264550668,5000.333231804003,167.37315110565652,4755.908593463991,39.62809014262839,0.16033219100805535,370.39211346649574
13,46.01101797867294,0.010000000000247911,1.9053597386748153,5279.779030387612,162.2282247487244,5108.301219797299,41.05106718316206,0.17213613480005202,343.68859556554105
14,46.02362501061044,0.01000000000014964,1.9025125881032303,5256.845590502957,181.2626512251284,4731.0414649819695,41.00107292437697,0.17158947432025176,382.07412351325416
15,46.1488638417572,0.01000000000136385,1.9494698092916531,5260.017229072399,140.30121700803554,5425.008479312419,40.45951610038604,0.16744774605124327,300.6117329457159
16,46.52802118467399,0.010000000001307272,1.9499967122044843,5049.231910992632,174.25558804109508,4635.216392599833,39.60477679455314,0.16010553007405792,381.1261040486438
17,46.114597813567734,0.010000000000054524,1.9499024801551306,5203.42612869093,141.40858531549114,5366.884234401697,40.286712809467325,0.16599305804286538,305.67555131244944
18,47.645734983464244,0.010000000001203586,1.9373110041321226,5077.525336845068,173.19524836856317,4586.780094252476,39.35712667680675,0.15810935577778648,376.8480043346052
